Patron,Card Barcode,Year Joined,Patron Phone,Book Barcode,Title,Year,Author,Author Year,Publisher,Publisher Phone,Checkout,Due,Returned
Leland Weiss,4299571220394167018668767,2013,913-870-1645,4604385353595536757032049,Empire of the Mughal - The Tainted Throne,1133,"Rutherford, Alex",1765,Pocket,(933) 603-7079,2458285.5,2458290.5,1
Bill Morales,5713468365007349888696601,2015,902.994.6482,4058335000503799275628718,Doctor in the Nude,1493,"Gordon, Richard",1845,MIT Press,+1-(514)-735-5947,2458203.5,2458219.5,1
Isaiah Beck,7803288748820769600627526,2016,762.624.1992,3944315984015882329250641,Asami Asami,1372,"Deshpande, P L",1545,Apress,836.632.0273,2458141.5,2458186.5,1
Deshawn Ellison,3258249040169280179399806,1975,1-907-648-6291,3199453317404878339901274,"Artist and the Mathematician, The",1640,"Aczel, Amir",1921,Random,+1-(530)-757-4100,2458210.5,2458211.5,1
Josef Suarez,5062216475407120681295148,1997,1-833-273-5807,5425499241261481518548958,"Courtroom Genius, The",1048,Sorabjee,1697,Pearson,1-293-811-9652,2458311.5,2458312.5,1
Bernetta Hewitt,7462062715787506691998431,2003,+1-(272)-958-2247,2464992878973067354595183,Oxford book of Modern Science Writing,1615,"Dawkins, Richard",1770,Hyperion,882.640.9487,2458242.5,2458311.5,1
Gordon Dawson,8385857141919853130101626,1997,(429) 451-2686,0866035354510695943255866,"Theory of Everything, The",1792,"Hawking, Stephen",1440,HBA,210.406.2584,2458283.5,2458287.5,1
Efrain Snider,1924305381240284244694618,2004,392-156-2895,4212502152384208636172335,Manasa,1921,"Kale, V P",1946,Jaico,253.778.3477,2458562.5,2458569.5,0
Chadwick Chambers,9204132089265988229733675,1985,(379) 269-4196,3909875104169285968359537,"Nature of Statistical Learning Theory, The",1964,"Vapnik, Vladimir",1452,Mauj,(281) 493-2802,2458212.5,2458240.5,1
Elbert David,4637234555376358487055887,2013,1-472-109-7436,3529272858534937720244040,"Nature of Statistical Learning Theory, The",1971,"Vapnik, Vladimir",1452,Springer,(279) 282-8193,2458166.5,2458193.5,1
Gus Osborn,2484494513105041833102568,2002,+1-(722)-011-9042,7614656508972500905978958,Maqta-e-Ghalib,1464,"Garg, Sanjay",1933,Hyperion,882.640.9487,2458238.5,2458258.5,1
Erik Daugherty,4365231141253166525953820,1976,1-944-254-5205,3159226522028872305765112,"Last Lecture, The",1747,"Pausch, Randy",1468,HarperCollins,(158) 998-2435,2458238.5,2458271.5,1
Garth Blackburn,8005796751781743312139795,1986,260.205.7469,1247357138612031174539095,Empire of the Mughal - Ruler of the World,1322,"Rutherford, Alex",1765,BBC,(277) 273-2102,2458121.5,2458122.5,1
Delena Sullivan,8498351372896461272725085,2009,(045) 577-7192,8668616329357513970543412,Sea of Poppies,1168,"Ghosh, Amitav",1628,Elsevier,359.226.5396,2458235.5,2458264.5,1
Gregory Weeks,0081473062840273608574024,2007,(125) 458-8117,2729645754442569541836637,Machine Learning for Hackers,1728,"Conway, Drew",1924,Dell,+1-(172)-750-1157,2458168.5,2458209.5,1
Mikel Merritt,9453203636282874762776000,1987,507.908.3739,4710127431002230734221800,One,1521,"Bach, Richard",1468,CRC,+1-(724)-740-6946,2458215.5,2458225.5,1
Tam Zamora,4082557406318658168661086,2005,(369) 034-2493,0322749932764598310582404,Girl who played with Fire,1934,"Larsson, Steig",1938,Dell,+1-(172)-750-1157,2458158.5,2458168.5,1
Barney Hart,5128664476629915847604278,1982,959.342.6988,3097440133310348916034391,Data Smart,1719,"Foreman, John",1792,Simon&Schuster,1-242-414-8385,2458158.5,2458179.5,1
Zane Irwin,2816080189446391139436214,1994,980.467.8497,7850319416515941363073306,How to Think Like Sherlock Holmes,1831,"Konnikova, Maria",1501,Bodley Head,(172) 571-4178,2458134.5,2458146.5,1
Karmen Knox,1532751081865920834277724,1991,(574) 470-3461,0210392545156733513141833,"Brethren, The",1935,"Grisham, John",1955,Random House,502.110.3821,2458125.5,2458145.5,1
Silvana Byrd,9951801861906100798515179,1986,1-165-139-3143,8175102984886017496351515,Python for Data Analysis,1747,"McKinney, Wes",1430,Random House,502.110.3821,2458144.5,2458177.5,1
Pasquale Mathis,3474187461233062560925445,2017,274-095-8783,1442654662459492358688979,"Prisoner of Birth, A",1418,"Archer, Jeffery",1565,Rupa,695-251-0415,2458120.5,2458139.5,1
Reynaldo Malone,9513351377461751446473441,2006,(652) 661-9259,3160482817515670444434416,How to Think Like Sherlock Holmes,1975,"Konnikova, Maria",1501,Wiley,024-858-6102,2458173.5,2458184.5,1
Lamont Sullivan,8126690944321555727027779,1975,(613) 040-9029,7193971650889864069403462,On Education,1575,"Russell, Bertrand",1901,Jaico,253.778.3477,2458234.5,2458256.5,1
Emelia Bryan,4676965825837310239279272,1972,(971) 534-8744,0891428376604440355151168,Clash of Civilizations and Remaking of the World Order,1230,"Huntington, Samuel",1917,Vintage,1-501-202-7994,2458120.5,2458177.5,1
Reynaldo Malone,9513351377461751446473441,2006,(652) 661-9259,3173270948330401380745031,Empire of the Mughal - The Serpent's Tooth,1955,"Rutherford, Alex",1765,Dell,+1-(172)-750-1157,2458216.5,2458234.5,1
Lenard Olson,1475803681005173075801362,1984,+1-(042)-850-6468,3988994701835641108676952,"Pillars of the Earth, The",1247,"Follett, Ken",1559,HarperCollins,(158) 998-2435,2458247.5,2458285.5,1
Deetta Price,0962883899006672771065771,1977,1-450-122-2815,3828537331517607567716333,"Idea of Justice, The",1843,"Sen, Amartya",1705,Routledge,+1-(476)-431-0927,2458275.5,2458278.5,1
Reynaldo Malone,9513351377461751446473441,2006,(652) 661-9259,3079543895656660129058693,India's Legal System,1506,Nariman,1865,MIT Press,+1-(514)-735-5947,2458272.5,2458293.5,1
Wade Gaines,6945025963981238672782685,1984,+1-(726)-673-3696,5741312374651572225530084,Python for Data Analysis,1279,"McKinney, Wes",1430,Vintage,1-501-202-7994,2458248.5,2458258.5,1
Gus Osborn,2484494513105041833102568,2002,+1-(722)-011-9042,3257909649517320551440819,"Discovery of India, The",1965,"Nehru, Jawaharlal",1696,Random House,502.110.3821,2458262.5,2458267.5,1
Yanira Wheeler,1195094781883833145765974,2015,248-054-7644,5229846566058386957280708,New Markets & Other Essays,1050,"Drucker, Peter",1512,O'Reilly,1-122-313-8760,2458158.5,2458163.5,1
Yanira Wheeler,1195094781883833145765974,2015,248-054-7644,8666160292131514721393237,Empire of the Mughal - Ruler of the World,1410,"Rutherford, Alex",1765,FreePress,890.262.9357,2458562.5,2458569.5,0
Jewell Lyons,3674481301646116839144082,2010,357.200.5882,0440980705387186338562613,"Artist and the Mathematician, The",1491,"Aczel, Amir",1921,Hyperion,882.640.9487,2458201.5,2458206.5,1
Marcus Bray,0398701444116160390302808,1971,(804) 626-4214,2463835850511828673178104,Econometric Analysis,1921,"Greene, W. H.",1993,Hyperion,882.640.9487,2458123.5,2458149.5,1
Catherin Leonard,5741968981108119678011171,2006,(000) 978-4621,7061268136013701055572732,"Great Indian Novel, The",1119,"Tharoor, Shashi",1790,FreePress,890.262.9357,2458234.5,2458269.5,1
Danyel Winters,1551957181361566363953067,1987,1-421-512-6368,7901544339174158805076015,"Raisin in the Sun, A",1458,"Hansberry, Lorraine",1966,Picador,+1-(351)-688-5454,2458238.5,2458242.5,1
Jewell Lyons,1866134911332639698558639,1972,373-128-8347,1406063637526780065314078,Data Scientists at Work,1832,Sebastian Gutierrez,1418,Random House,502.110.3821,2458301.5,2458316.5,1
Deetta Price,0962883899006672771065771,1977,1-450-122-2815,6894755931550680288620610,"Computer Vision, A Modern Approach",1218,"Forsyth, David",1826,FreePress,890.262.9357,2458276.5,2458284.5,1
Deedra Whitfield,5929004553169235536637630,1972,1-929-909-6988,5524927040852878985675215,Introduction to Algorithms,1213,"Cormen, Thomas",1869,Penguin,824.149.4511,2458195.5,2458233.5,1
Zane Irwin,2816080189446391139436214,1994,980.467.8497,1298484005819295203579012,"Phantom of Manhattan, The",1798,"Forsyth, Frederick",1781,HighStakes,218.696.0130,2458257.5,2458270.5,1
France Tucker,0591816218593958416466566,1998,1-755-712-2238,5518996882064562505423731,"Story of Philosophy, The",1402,"Durant, Will",1782,Bodley Head,(172) 571-4178,2458186.5,2458199.5,1
Pasquale Mathis,3474187461233062560925445,2017,274-095-8783,3062480148109111687575098,More Tears to Cry,1568,"Sassoon, Jean",1590,TMH,1-239-558-4462,2458296.5,2458305.5,1
Martin Lowe,7000578059379359669442274,1997,+1-(477)-925-1033,3101530850489494181874839,Data Structures Using C & C++,1217,"Tanenbaum, Andrew",1536,Simon&Schuster,1-242-414-8385,2458181.5,2458204.5,1
Irmgard Harding,5167849246197346073040370,1994,1-235-585-9499,7737991720243645908236483,In a Free State,1547,"Naipaul, V. S.",1867,Pan,1-663-594-1588,2458237.5,2458299.5,1
Zane Irwin,2896552070462588416602920,1986,1-302-958-5583,7138137273353206559979428,O Jerusalem!,1355,"Lapierre, Dominique",1804,Elsevier,359.226.5396,2458154.5,2458187.5,1
Martin Lowe,7000578059379359669442274,1997,+1-(477)-925-1033,8707286653317351611374160,"Moon and Sixpence, The",1344,"Maugham, William S",1611,Fontana,326.658.5696,2458140.5,2458145.5,1
Bernetta Hewitt,7462062715787506691998431,2003,+1-(272)-958-2247,7721744520011916745860686,Integration of the Indian States,1240,"Menon, V P",1708,Mauj,(281) 493-2802,2458273.5,2458289.5,1
Bernetta Hewitt,7462062715787506691998431,2003,+1-(272)-958-2247,4710127431002230734221800,One,1521,"Bach, Richard",1468,CRC,+1-(724)-740-6946,2458151.5,2458153.5,1
Loura Sullivan,2142642943213476330171280,1994,953.437.6188,2979715091363954204200566,"Devil's Advocate, The",1699,"West, Morris",1967,Pearson,1-293-811-9652,2458207.5,2458234.5,1
Edmond Odom,7597862788341531238123345,2011,601.516.3549,0823090263663197952853119,Image Processing with MATLAB,1974,"Eddins, Steve",1976,Routledge,+1-(476)-431-0927,2458290.5,2458306.5,1
Marcus Bray,0398701444116160390302808,1971,(804) 626-4214,8570573646482482566461316,Manasa,1899,"Kale, V P",1946,Wiley,024-858-6102,2458272.5,2458275.5,1
Reynaldo Malone,9513351377461751446473441,2006,(652) 661-9259,9971513073463177144945383,Introduction to Algorithms,1113,"Cormen, Thomas",1869,Mauj,(281) 493-2802,2458302.5,2458310.5,1
Sarina Burke,1603404408261407982703034,1985,(811) 784-9570,2110158279999926692186586,Philosophy: Who Needs It,1063,"Rand, Ayn",1805,Prentice Hall,1-047-873-5865,2458273.5,2458289.5,1
Zane Irwin,2816080189446391139436214,1994,980.467.8497,9067248157309752030781896,Tales of Beedle the Bard,1891,"Rowling, J K",1665,Hyperion,882.640.9487,2458232.5,2458311.5,1
Wade Gaines,6945025963981238672782685,1984,+1-(726)-673-3696,8147061325345596504368118,Identity & Violence,1520,"Sen, Amartya",1705,Orient Blackswan,552-486-8974,2458198.5,2458218.5,1
Barney Hart,5128664476629915847604278,1982,959.342.6988,4299957326333289020887767,20000 Leagues Under the Sea,1874,"Verne, Jules",1455,Pocket,(933) 603-7079,2458256.5,2458293.5,1
Bennett Daniel,3521007764925597111961645,1973,(377) 750-0899,7738556103046583547153342,Superfreakonomics,1506,"Dubner, Stephen",1810,Pocket,(933) 603-7079,2458213.5,2458221.5,1
France Odom,1654932546761794379116424,1981,1-589-940-8952,0814177946852301100942274,Free Will,1972,"Harris, Sam",1510,Penguin,824.149.4511,2458197.5,2458235.5,1
Kayleigh Lambert,2700145311443270916061106,1975,840-831-4174,2564893183112187228483100,Empire of the Mughal - The Serpent's Tooth,1128,"Rutherford, Alex",1765,BBC,(277) 273-2102,2458278.5,2458285.5,1
Bennett Daniel,3521007764925597111961645,1973,(377) 750-0899,2791704967779951622005864,"Justice, Judiciary and Democracy",1039,"Ranjan, Sudhanshu",1792,Transworld,1-291-560-4782,2458183.5,2458194.5,1
Elbert David,4637234555376358487055887,2013,1-472-109-7436,4509039673088364763283509,Apulki,1198,"Deshpande, P L",1545,TMH,1-239-558-4462,2458308.5,2458312.5,1
Deedra Whitfield,5929004553169235536637630,1972,1-929-909-6988,4206828090264157636303213,Tales of Beedle the Bard,1524,"Rowling, J K",1665,Wiley,024-858-6102,2458272.5,2458276.5,1
Chadwick Chambers,9204132089265988229733675,1985,(379) 269-4196,0864881293229044930619647,From Beirut to Jerusalem,1445,"Friedman, Thomas",1666,HBA,210.406.2584,2458248.5,2458252.5,1
Jewell Lyons,3674481301646116839144082,2010,357.200.5882,7872896663744604308945319,Talking Straight,1616,"Iacoca, Lee",1432,Pan,1-663-594-1588,2458122.5,2458138.5,1
Donetta Mcdonald,9610688376985651779371613,1971,1-428-201-3380,7426824399180965685912540,Image Processing with MATLAB,1597,"Eddins, Steve",1976,Fontana,326.658.5696,2458302.5,2458313.5,1
Sydney Richmond,4022335375794614600991850,1989,(836) 884-0853,9778496368751295691251300,"Nature of Statistical Learning Theory, The",1110,"Vapnik, Vladimir",1452,Pocket,(933) 603-7079,2458288.5,2458314.5,1
Bill Morales,5713468365007349888696601,2015,902.994.6482,8107190841209006545597611,Power Electronics,1223,"Mohan, Ned",1977,Simon&Schuster,1-242-414-8385,2458268.5,2458291.5,1
Bernetta Hewitt,7462062715787506691998431,2003,+1-(272)-958-2247,1775452377552271807477501,"Short History of the World, A",1670,"Wells, H G",1862,Pan,1-663-594-1588,2458290.5,2458314.5,1
Asa Small,7690635780455082508202074,1983,+1-(001)-935-0335,8632281877143853583350470,Ahe Manohar Tari,1812,"Deshpande, Sunita",1490,Picador,+1-(351)-688-5454,2458233.5,2458246.5,1
Emery Byrd,6559549596782707989229204,1971,(463) 978-2687,7024338559115321324511547,New Markets & Other Essays,1503,"Drucker, Peter",1512,HBA,210.406.2584,2458253.5,2458259.5,1
Theola Flowers,5460282786346486873785483,2001,+1-(378)-844-2783,0941823370949277552922746,Doctor in the Nude,1813,"Gordon, Richard",1845,Jaico,253.778.3477,2458151.5,2458163.5,1
Kimberli Schneider,6184216428042109495488267,1984,761.990.5356,8004365132108148368881100,Empire of the Mughal - The Serpent's Tooth,1667,"Rutherford, Alex",1765,Springer,(279) 282-8193,2458204.5,2458206.5,1
Bennett Daniel,3521007764925597111961645,1973,(377) 750-0899,7024338559115321324511547,New Markets & Other Essays,1503,"Drucker, Peter",1512,HBA,210.406.2584,2458164.5,2458225.5,1
Sydney Richmond,4022335375794614600991850,1989,(836) 884-0853,9778496368751295691251300,"Nature of Statistical Learning Theory, The",1110,"Vapnik, Vladimir",1452,Pocket,(933) 603-7079,2458167.5,2458203.5,1
Gerald Roberts,9960311807383440268126404,1978,861.515.6683,2753782246675450234094495,Angels & Demons,1601,"Brown, Dan",1404,Routledge,+1-(476)-431-0927,2458126.5,2458127.5,1
Lynwood Reeves,0907606975184617701246876,1999,052-558-9557,9645404695080235750399941,Journal of a Novel,1439,"Steinbeck, John",1733,Random,+1-(530)-757-4100,2458206.5,2458213.5,1
Marth Rios,3297401549040544850673714,2001,+1-(403)-235-0591,8175102984886017496351515,Python for Data Analysis,1747,"McKinney, Wes",1430,Random House,502.110.3821,2458277.5,2458299.5,1
Irvin Rivera,4756416611975552524550569,1981,(925) 773-4993,7592506949162432096787360,Doctor in the Nude,1323,"Gordon, Richard",1845,Springer,(279) 282-8193,2458275.5,2458318.5,1
Kim Briggs,8879917779052017236449519,2010,1-474-974-0736,0320271503058598387038199,Dylan on Dylan,1457,"Dylan, Bob",1443,BBC,(277) 273-2102,2458120.5,2458123.5,1
Galen Avila,5787305952412130995298711,1971,1-214-659-0713,7991522439255532546238249,Empire of the Mughal - The Serpent's Tooth,1578,"Rutherford, Alex",1765,Pearson,1-293-811-9652,2458245.5,2458254.5,1
Dallas French,0189639962362105313664589,1991,140.869.7386,0013252039169245362154207,"Amulet of Samarkand, The",1087,"Stroud, Jonathan",1996,Elsevier,359.226.5396,2458246.5,2458268.5,1
Irvin Rivera,4756416611975552524550569,1981,(925) 773-4993,5167904902782341055198452,Unpopular Essays,1836,"Russell, Bertrand",1901,HBA,210.406.2584,2458224.5,2458265.5,1
Asa Small,9637502981006384207558569,1971,1-240-960-8564,1981329493451516963538237,Simpsons & Their Mathematical Secrets,1108,"Singh, Simon",1772,Penguin,824.149.4511,2458205.5,2458221.5,1
Loura Sullivan,2142642943213476330171280,1994,953.437.6188,3834808857068963697923365,"Cathedral and the Bazaar, The",1028,"Raymond, Eric",1727,BBC,(277) 273-2102,2458274.5,2458296.5,1
Catherin Leonard,5741968981108119678011171,2006,(000) 978-4621,0994364650030015635510347,Jim Corbett Omnibus,1241,"Corbett, Jim",1667,Transworld,1-291-560-4782,2458154.5,2458171.5,1
Silvana Byrd,9951801861906100798515179,1986,1-165-139-3143,1327297122641653883988731,"Theory of Everything, The",1178,"Hawking, Stephen",1440,Rupa,695-251-0415,2458280.5,2458309.5,1
Gregory Weeks,0081473062840273608574024,2007,(125) 458-8117,7403869240957709820819578,Design with OpAmps,1117,"Franco, Sergio",1764,FreePress,890.262.9357,2458303.5,2458315.5,1
Delena Sullivan,8498351372896461272725085,2009,(045) 577-7192,8446912792505411540193674,Girl with the Dragon Tattoo,1793,"Larsson, Steig",1938,Wiley,024-858-6102,2458240.5,2458248.5,1
Leland Weiss,8590449388533589280436070,1979,1-034-581-5266,0386489601029492611837826,Tales of Mystery and Imagination,1184,"Poe, Edgar Allen",1410,Mauj,(281) 493-2802,2458186.5,2458195.5,1
Pasquale Mathis,3474187461233062560925445,2017,274-095-8783,7120081245810375991641449,Freakonomics,1333,"Dubner, Stephen",1810,Prentice Hall,1-047-873-5865,2458309.5,2458318.5,1
Martin Lowe,7000578059379359669442274,1997,+1-(477)-925-1033,6352924637284675820202424,Radiowaril Bhashane & Shrutika,1791,"Deshpande, P L",1545,Routledge,+1-(476)-431-0927,2458282.5,2458286.5,1
Emery Byrd,6559549596782707989229204,1971,(463) 978-2687,4713007466764684271982997,Char Shabda,1893,"Deshpande, P L",1545,Springer,(279) 282-8193,2458232.5,2458245.5,1
Deedra Whitfield,5929004553169235536637630,1972,1-929-909-6988,8855235603136544339488031,Design with OpAmps,1917,"Franco, Sergio",1764,Pocket,(933) 603-7079,2458237.5,2458286.5,1
Eric Cortez,5432964453766222884786171,2014,064-090-3468,6433317423770206300459576,Mossad,1877,"Baz-Zohar, Michael",1544,Wiley,024-858-6102,2458185.5,2458218.5,1
Bernetta Hewitt,7462062715787506691998431,2003,+1-(272)-958-2247,6971889683438890737949538,Dongri to Dubai,1010,"Zaidi, Hussain",1506,O'Reilly,1-122-313-8760,2458212.5,2458251.5,1
Zane Irwin,2816080189446391139436214,1994,980.467.8497,8430140768821622267714155,"Deceiver, The",1224,"Forsyth, Frederick",1781,Fontana,326.658.5696,2458203.5,2458209.5,1
Tam Bridges,3457412497367125139913550,2015,402.555.4217,2693407218939143976732276,Hafasavnuk,1450,Deshpande P L,1849,Fontana,326.658.5696,2458222.5,2458234.5,1
Sydney Richmond,4022335375794614600991850,1989,(836) 884-0853,9465038822477998024120970,Image Processing with MATLAB,1762,"Eddins, Steve",1976,CRC,+1-(724)-740-6946,2458171.5,2458177.5,1
Yanira Wheeler,1195094781883833145765974,2015,248-054-7644,3993868510045393316594597,Think Complexity,1985,"Downey, Allen",1430,HarperCollins,(158) 998-2435,2458190.5,2458196.5,1
Lynna Finch,5982102087757630126641232,2017,1-572-598-9027,9352421363351858686781647,Data Structures Using C & C++,1503,"Tanenbaum, Andrew",1536,Vintage,1-501-202-7994,2458219.5,2458255.5,1
Bill Morales,5713468365007349888696601,2015,902.994.6482,9454848358824758261059454,"Discovery of India, The",1305,"Nehru, Jawaharlal",1696,Pan,1-663-594-1588,2458285.5,2458299.5,1
Irmgard Harding,5167849246197346073040370,1994,1-235-585-9499,8408946220329421081297726,Doctor on the Brain,1330,"Gordon, Richard",1845,Routledge,+1-(476)-431-0927,2458282.5,2458307.5,1
Silvana Byrd,9951801861906100798515179,1986,1-165-139-3143,8653848602536856101987351,Econometric Analysis,1608,"Greene, W. H.",1993,Jaico,253.778.3477,2458158.5,2458164.5,1
Lynna Finch,5982102087757630126641232,2017,1-572-598-9027,8202945338054351380665921,Orientalism,1198,"Said, Edward",1919,Random House,502.110.3821,2458140.5,2458169.5,1
Dallas French,0189639962362105313664589,1991,140.869.7386,3993868510045393316594597,Think Complexity,1985,"Downey, Allen",1430,HarperCollins,(158) 998-2435,2458126.5,2458131.5,1
Jewell Lyons,1866134911332639698558639,1972,373-128-8347,3551353837192653839665304,"Moon and Sixpence, The",1597,"Maugham, William S",1611,Dell,+1-(172)-750-1157,2458172.5,2458205.5,1
Yanira Wheeler,1195094781883833145765974,2015,248-054-7644,1730188550388867682194190,One,1185,"Bach, Richard",1468,Pearson,1-293-811-9652,2458141.5,2458162.5,1
Alexander Kinney,9393364417977409669494386,2006,1-230-696-0080,3920279967592489044665686,"Complete Sherlock Holmes, The - Vol II",1844,"Doyle, Arthur Conan",1416,vikas,084-702-6767,2458201.5,2458203.5,1
Asa Small,7690635780455082508202074,1983,+1-(001)-935-0335,4308081946104716008038356,Making Software,1989,"Oram, Andy",1583,HighStakes,218.696.0130,2458174.5,2458195.5,1
Sydney Richmond,4022335375794614600991850,1989,(836) 884-0853,4740962935816696688819016,Physics & Philosophy,1367,"Heisenberg, Werner",1460,Picador,+1-(351)-688-5454,2458225.5,2458236.5,1
Zane Irwin,2816080189446391139436214,1994,980.467.8497,4240779004573210933173897,Talking Straight,1511,"Iacoca, Lee",1432,Penguin,824.149.4511,2458163.5,2458182.5,1
Lynwood Reeves,0907606975184617701246876,1999,052-558-9557,2692631706883208714323843,Ahe Manohar Tari,1487,"Deshpande, Sunita",1490,Springer,(279) 282-8193,2458276.5,2458295.5,1
Loura Sullivan,2142642943213476330171280,1994,953.437.6188,7816389632779942069778445,Men of Mathematics,1536,"Bell, E T",1883,HarperCollins,(158) 998-2435,2458168.5,2458179.5,1
Garth Blackburn,8005796751781743312139795,1986,260.205.7469,8446264436381794949076638,Mossad,1924,"Baz-Zohar, Michael",1544,Dell,+1-(172)-750-1157,2458493.5,2458500.5,0
Gus Osborn,2484494513105041833102568,2002,+1-(722)-011-9042,0791321294183883808600071,Jurassic Park,1711,"Crichton, Michael",1655,Routledge,+1-(476)-431-0927,2458157.5,2458179.5,1
Ramiro Brown,5877521440081394399419735,2013,+1-(549)-851-9635,1293707574979654010961485,Girl with the Dragon Tattoo,1688,"Larsson, Steig",1938,CRC,+1-(724)-740-6946,2458285.5,2458295.5,1
Lynwood Reeves,0907606975184617701246876,1999,052-558-9557,1714729672359867278460605,Girl who kicked the Hornet's Nest,1865,"Larsson, Steig",1938,Simon&Schuster,1-242-414-8385,2458281.5,2458297.5,1
Mikel Merritt,9453203636282874762776000,1987,507.908.3739,7403369150577391507991300,"Cathedral and the Bazaar, The",1834,"Raymond, Eric",1727,Pearson,1-293-811-9652,2458147.5,2458157.5,1
Deetta Price,0962883899006672771065771,1977,1-450-122-2815,6422601695076831293169155,"Last Lecture, The",1797,"Pausch, Randy",1468,Mauj,(281) 493-2802,2458245.5,2458293.5,1
Silvana Byrd,9951801861906100798515179,1986,1-165-139-3143,1280090748721631776492920,Empire of the Mughal - Ruler of the World,1246,"Rutherford, Alex",1765,HarperCollins,(158) 998-2435,2458128.5,2458152.5,1
Karmen Knox,1532751081865920834277724,1991,(574) 470-3461,8107190841209006545597611,Power Electronics,1223,"Mohan, Ned",1977,Simon&Schuster,1-242-414-8385,2458263.5,2458267.5,1
Leland Weiss,4299571220394167018668767,2013,913-870-1645,6830591782292729041761227,Data Scientists at Work,1066,Sebastian Gutierrez,1418,Pocket,(933) 603-7079,2458493.5,2458500.5,0
Lynna Finch,5982102087757630126641232,2017,1-572-598-9027,6433317423770206300459576,Mossad,1877,"Baz-Zohar, Michael",1544,Wiley,024-858-6102,2458275.5,2458283.5,1
Loura Sullivan,2142642943213476330171280,1994,953.437.6188,1742287310439411841087020,Birth of a Theorem,1511,"Villani, Cedric",1748,vikas,084-702-6767,2458298.5,2458308.5,1
Damon Wilcox,0978988811374945714447886,1998,735-605-9155,5167904902782341055198452,Unpopular Essays,1836,"Russell, Bertrand",1901,HBA,210.406.2584,2458191.5,2458194.5,1
Louie Kirk,3091734774841364634443101,1990,+1-(849)-040-3851,8404784910778586135357061,Making Software,1856,"Oram, Andy",1583,Simon&Schuster,1-242-414-8385,2458275.5,2458311.5,1
Shantae Yang,7188329980942029803411013,1997,875-317-9706,1177675969980582997582715,Men of Mathematics,1599,"Bell, E T",1883,Pocket,(933) 603-7079,2458191.5,2458203.5,1
Emery Byrd,6559549596782707989229204,1971,(463) 978-2687,4890786603321718854597068,"Discovery of India, The",1815,"Nehru, Jawaharlal",1696,Vintage,1-501-202-7994,2458246.5,2458276.5,1
Lamont Sullivan,8126690944321555727027779,1975,(613) 040-9029,8963115960291780477075482,"Idiot, The",1787,"Dostoevsky, Fyodor",1591,Mauj,(281) 493-2802,2458311.5,2458315.5,1
